date,message,school
19-Mar-20,"Dear Spring Graduates, 

As the COVID-19 virus continues to spread around the world, Florida State University is committed to protecting the health and safety of the university community, as well as our families and friends. 

One of the best ways to stop the spread of this dangerous disease is to avoid large gatherings and crowds. Thats why FSU and all State University System of Florida institutions have canceled this springs commencement ceremonies. 

While it is extraordinarily disappointing to cancel one of lifes most joyous occasions, this is a necessary step to keep our community safe.  

I understand this is upsetting news for our graduates and their families, friends, faculty and mentors. This years commencement was to be extra special for Jean and me, and our immediate family, as my granddaughter is graduating alongside you, so I certainly understand and share your disappointment. This should be a time when graduates are lining up at Westcott Fountain to take photos in their caps and gowns, laughing with friends at the Senior Toast and reflecting on their journeys of academic and personal growth.  



Ive said many times that nothing makes me happier than seeing our students realize their dreams of an FSU degree, and please be assured that we will celebrate your important milestone when it is safe to do so. 

In the meantime, the university plans to release an online ceremony that includes messages from the academic deans, the dean of the Graduate School and the dean of Undergraduate Studies, who will confer academic degrees to our deserving graduates.  

Once circumstances allow, FSU plans to invite our Spring 2020 graduates and their families and friends back to campus to enjoy a true celebration of their achievements.  

Over the past few years, we have faced many challenges, and I have always been impressed by your resilience. Together, we will get through this, too. I urge you to stay safe, use good judgement and finish the semester strong! 

Sincerely, 

John Thrasher
President, Florida State University 


",Florida State University
20-Mar-20,"Florida State University requests your cooperation and assistance in preventing the spread of the coronavirus.

Students: If you have left the Tallahassee-area for any period of time since March 12, do not return to the main campus for any reason until further notice. Residence halls are closed to visitors and to residents who have departed the Tallahassee area during spring break. Specific instructions for the retrieval of personal belongings from campus and residence hall move-out will be announced at a later date. Thank you for your cooperation and patience, and monitor your email for future instructions.

Employees: The university continues to strongly recommend that all students, staff and faculty refrain from personal domestic and international travel except for emergency purposes. Employees who have left the Tallahassee area, and visited any area with community transmission, must notify their immediate supervisor and not return to campus until cleared to do so. Thank you for your cooperation and patience.",Florida State University
20-Mar-20,"Amid a global pandemic, Florida State University is mobilizing to protect the health and safety of the university community by delivering classes remotely for the remainder of the spring semester.

With an enrollment of about 42,000 students and more than 3,000 faculty and instructors, the transition from in-person classes to remote teaching is a huge undertaking.

This is something weve never done at this level of magnitude before for our faculty as well as our students, said FSU President John Thrasher. I want the students to continue to get the kind of education they came to Florida State for. Our faculty wants to deliver that education. This is just a new mode of doing that, and I think it can be successful.

While Thrasher knows its not an ideal situation, hes encouraging everyone to work together and be patient as FSU begins a new era of education.



The confidence I have in our faculty is overwhelming, he said. I know theyre working hard to make it happen. We had a nice meeting with the deans and chairs earlier in the week and theyre all committed to making this work because theyre committed to our students, and thats what this faculty is about. Theyre strong.

Provost Sally McRorie and the Academic Affairs team have been preparing to shift classes online for weeks. Theyre following an emergency model FSU put together in 2018, when Hurricane Michael devastated the Florida Panhandle and prompted the FSU Panama City campus to move to remote learning.

As COVID-19 cases have risen around the state and the nation, its been an all-hands-on-deck project to make sure students avoid any disruption — or delays — in their academic journeys.

This is certainly an unprecedented experience for all of us at Florida State, but we are very resilient and proud to be, McRorie said. We are facing it head on.

She said her team has been extremely busy trying to work through all the various new ways faculty and students have to approach teaching and learning. McRorie reinforced that student success is one of Florida States top priorities and that faculty and staff are dedicated to making sure FSU students have the best experience possible.

There will be some little glitches along the way, probably more so the beginning of next week, when all classes will be taught remotely, McRorie said, but we have great learning teams, teaching teams, we have terrific resources in our IT department and our Office of Distance Learning, along with great support for teaching and learning everywhere in the university.

The Office of Distance Learning is using a variety of different tools, including Zoom, an online video conferencing service, and Canvas, FSUs learning management system, to make that happen.

We applied the academic and technology resources at our disposal to help make this happen on short notice, said Robert Fuselier, director of the Office of Distance Learning. Were trying to help faculty create meaningful activities for students.

Kim Houghton, a business analyst with the Office of Distance Learning, said the goal is to offer some very basic steps that every faculty member would need to know to get some initial success online.

Our approach is more of a quick start guide, Houghton said. Once they get used to a few basic tools, then there are so many resources that were prepared to offer. We didnt want to overwhelm someone who had never taught online.

Fuselier said his team has focused on helping faculty who are primarily researchers and teach a few classes but who dont have a lot of interaction with academic technology.

The key is were trying to keep it as simple and approachable as possible, and the people have really taken it and run with it, he said.

Florida State prides itself on smaller classes and face-to-face opportunities and that is one of the hurdles faculty will have to overcome, McRorie said.

Those will be different, but we can still find ways to challenge students and to provide them many opportunities for learning, she said.

Different people have different strategies that seem to work for them, Fuselier added.

Theres been a lot of different approaches, and it will be interesting to see what happens because this is also a time when I think there is going to be a lot of ideas that we would like to capture and learn about, he said.

Thrasher said FSUs resilience is unparalleled, and the university will navigate any challenges together.

Were the 18th best public university in America, and were going to come out of this just as strong as we were and make this university even stronger, Thrasher said. Thats because our faculty cares about what happens to our students, and our students want to get the best education they can so they can go out and follow their dreams. 

For more information and resources, visit fsu.edu/coronavirus.

",Florida State University
23-Mar-20,"All courses for FSUs Summer Sessions A, B, F, and Law (8 week) will be conducted remotely in adherence to the Centers for Disease Control and Preventions social distancing protocols and guidance from the State University System of Florida.

Law begins Monday, May 4, and Sessions A, B, and F begin Monday, May 11. A decision about Summer Session C, which begins Monday, June 22, will be made at a later date. At this time, no decisions regarding the 2020 fall semester have been made.

Students should contact their academic advisors with questions about building their summer schedules.

",Florida State University
24-Mar-20,"Florida State University began a new chapter in its history Monday, March 23, as the entire campus moved to remote learning in response to the COVID-19 global pandemic.

President John Thrasher experienced the transition firsthand Monday morning as he joined Robert O. Lawton Distinguished Professor Joseph Schlenoff during his chemistry class via Zoom, a remote conferencing service that is one of the tools the university is using to connect faculty and students.

I hope everybody is doing well, Thrasher told the class. Im proud of our faculty, certainly proud of our students, and I appreciate everyone hanging in there with us during this tough time. This is going to be tough to get through, and there are going to be some bumps in the road, but I think that we can get there. I really do.

",Florida State University
25-Mar-20,"Some of the most memorable experiences for Florida State University students happen outside of the classroom. Now, with the university going remote for the rest of the spring semester amid a global pandemic, how will students stay connected with campus and one another?

One way that Florida State is supporting students is through Virtual FSU  a new, virtual hub for student services and engagement opportunities, created by the Division of Student Affairs.

Its important that while we are physically distant, we connect virtually with each other for our mental and physical health, said Amy Hecht, vice president for Student Affairs. Our goal is to continue, as best we can, offering the FSU experience and providing avenues for students to receive counseling, medical services and connecting with each other through a variety of online mechanisms. I know that our students are resilient, and we will all support each other during this time of uncertainty.

Virtual FSU includes information for virtual health and wellness, mental health services, the Career Center, Food Pantry, case management support as well as links to opportunities to be active, meet about wellness and find engaging things to do online.

Building and fostering digital communities is an extension of the work we do daily to craft the student experience and help students reach their full potential, said Danielle Acosta, interim director of Student Engagement. Through these platforms, we can engage in conversations, build relationships, continue to provide interactive services to support student success and empower students to positively impact the world. This is more important now than ever, as we are seeing in real time how truly interconnected that we are and how each of us have the opportunity to change the trajectory for others.

In addition to Virtual FSU, Students Affairs plans to further develop different and creative ways for student connection, celebration and ongoing virtual services.

For example, the DSA is hosting a new virtual event each Wednesday  RSO Rendezvous  in place of FSUs usual Market Wednesday on Legacy Walk. RSO Rendezvous will take place during the regular Market Wednesday time, from 10 a.m. 1 p.m.

Student Engagement is excited to use our online platforms and technology to continue to help RSOs thrive and be creative during this time, Acosta said. We are setting up social media challenges, creating new virtual experiences and helping students use resources that they may not have even known existed to continue doing some of their favorite activities critical to their FSU experience.

Other departments and groups around campus are getting in the virtual act, too. The Student Government Association, including FSUs Student Senate and Congress of Graduate Students, will meet virtually on a summer schedule for the remainder of the semester, and the College of Law has developed a virtual hub with daily lunchtime programming for students via Zoom that is accessible through the Office of Student Advancement Canvas page for Law students.

Student engagement is all about the connections and investment we have in each other, and in the Florida State community, Acosta said. Our community, the Florida State family, is strong, and one that comes together in trying and difficult times. This spring, we might not all physically be out on Landis Green or having dinner in the Ballrooms, but we are still in this together. We can still cheer each other, be involved, learn together, and support and celebrate each other.

For more information, visit studentaffairs.fsu.edu/virtualfsu.

",Florida State University
25-Mar-20,"Dear Students,

This is an unprecedented time in Florida State Universitys history as the entire campus has moved to remote learning, and we realize this may be a difficult adjustment for some students.

In response, FSU has modified its undergraduate grading policy for the 2020 spring semester.

Undergraduate courses that now use letter grades will continue to use letter grades. However, students may individually opt to receive a Satisfactory/Unsatisfactory (S/U) grade for eligible courses rather than a letter grade.
Students enrolled in undergraduate courses may request S/U in eligible courses beginning at 9 a.m. ET Monday, March 30. All requests for the S/U option must be submitted no later than 11:59 p.m. ET Sunday, April 12. Students are strongly encouraged to review the Student Information Guide on S/U to understand the implications of their choice should they choose to switch from letter grades to S/U grades. The students who request the S/U option will be informed how their choice may affect financial aid, progress toward degree, etc. Academic advisors also can help students in the decision-making process should students have additional questions.
Students may select to change one or all of the eligible undergraduate classes in which they are enrolled. There is no requirement that students change any course if they wish to continue receiving a letter grade for any or all of their eligible undergraduate classes.
To be clear, students may not opt for S/U status after 11:59 p.m. ET Sunday, April 12.
Beginning March 30, students should consult their instructors as to what would constitute an S or U in each class. It may be different.
The grading policy for graduate courses will not change. All graduate courses will receive letter grades.
Students in professional programs should check with their respective colleges for any grading policy changes.
To request S/U in classes that use letter grades, see instructions on How to Change Letter Grades to S/U Grades .

For more detailed information and FAQ, visit the Student Information Guide on S/U.

Sincerely,

Dr. Sally McRorie
Provost and Executive Vice President for Academic Affairs


",Florida State University
26-Mar-20,"Florida State University officials have launched an emergency fundraising effort aimed at helping students struggling due to financial fallout from the COVID-19 pandemic.

The FSU Foundation, the universitys academic fundraising arm, unveiled two emergency funds that are accepting donations  one addressing the needs of those affiliated with FSU in Tallahassee, the other for those from FSU Panama City.

All funds will go to FSU students and will cover a variety of needs from medical bills, rent, living expenses and technology to help distance learning.

The Foundation has launched a webpage, foundation.fsu.edu/emergency , where visitors can pick a fund and send their donation. The effort mirrors the one initiated by FSU in the wake of Hurricane Michael which allowed donors to contribute online and raised more than $150,000.

In an email to the university community, FSU President John Thrasher called for a similar response and said FSU needed to move quickly to help support those in need.

These student emergency funds were created to quickly address a variety of our students needs  from food insecurity and medical bills to technology and housing assistance, he said.

Officials also announced that proceeds raised from this years edition of FSUs Great Give, which is postponed until April 7, will be used to support the student emergency funds.

Funds will be distributed as needed and financial support is identified.

Donations to these funds will have an immediate impact, said Tom Jennings, vice president for University Advancement and president of the FSU Foundation. Even though our student community is physically spread far and wide, we are dedicated to doing everything possible to ensure they can succeed in this time of crisis.

Thrasher also reminded people to visit the university food pantry Amazon Wish List  to see which items are in greatest demand.

Gifts can be made online using credit card, debit card or PayPal at https://give.fsu.edu/studentemergency  for the Tallahassee campus student emergency fund or https://give.fsu.edu/pcstudents  for the Panama City campus student emergency fund.

Gifts may also be made via check payable to the FSU Foundation. Reference Fund F08909 for the Tallahassee campus or Fund F08686 for the Panama City campus.

",Florida State University
26-Mar-20,"Dear FSU Community,

Thank you for your patience and understanding as Florida State University diligently works to ensure the safety and well-being of the community. We strive to be attentive in addressing your concerns and questions as swiftly as possible, and we appreciate your continued patience and grace as we respond to this unprecedented event and work to continue the excellent learning experience you expect.

Florida State University will implement a Student Refund Plan for students who have paid or have been assessed housing and dining charges for the Spring 2020 semester and are no longer utilizing these services, with the following considerations:

March 23, 2020 is considered the last service date for housing and meal plans.
For University Housing residents, we will refund the respective spring semester rate per individual resident based on their number of unutilized bed nights and the specific rate for the residence hall in which they lived.
For students on the Residential Dining Services All-Access Meal Plan, we will refund the respective spring semester rate per unused days and Flex Bucks. Block Meal Plans will be refunded based on the unused meal balance and Flex Bucks. Garnet Bucks will automatically roll over based on the Meal Plan Terms and Conditions.
Refunds will be applied to students university accounts. Any university balance will be paid prior to the refund being disbursed.
Acceptance of the refunds will constitute full resolution of the students residence hall and meal plan agreements.
We expect to electronically issue refunds the week of April 6. This will allow us time to calculate refund amounts and ensure all refunds are compliant with financial aid rules based on U.S. Department of Education and State of Florida guidance. During this time, we encourage students to verify their direct deposit profile in MyFSU.

Sincerely,

Kyle Clark
Vice President for Finance and Administration

",Florida State University
31-Mar-20,"The health and wellness of the FSU community is always our first priority. The team of dedicated medical professionals at University Health Services is prepared to support you through these challenging times. Students now have the ability to receive healthcare virtually. For step by step instructions on how to schedule your appointment, please visit https://uhs.fsu.edu/telehealth
",Florida State University
1-Apr-20,"As a result of Governor DeSantis safer at home order, the University is restricting all on-campus operations to essential functions only effective April 3, 2020, until at least April 30, 2020. The restriction of on-campus operations means that only essential personnel are required on campus. However, University business operations will continue and faculty and staff who are working remotely should continue to work their normal hours. If an employee working remotely needs to return to campus prior to the Governors executive order going into effect to gather work items, they must continue to practice appropriate social distancing.

On-Campus Essential Employees

At this time, on campus essential employees are defined as employees designated to report to the workplace while on-campus operations are restricted. Vice Presidents, Deans, Directors, and Department Heads must designate which on-campus functions are essential and require an employee to be on-campus to perform critical on-campus University functions. On campus essential personnel that may be required to work on campus include, but are not limited to:

those ensuring the safety and security of campus facilities and information technology; protection of University assets (e.g., health care services, police);
maintenance of research labs and utilities that cannot suspend operations;
those providing limited services to students who remain on-campus (e.g. housing, designated food services);
those required for continuity of services including maintenance/grounds/janitorial
those providing medical services;
those who are needed to process financial transactions and services;
those who provide support for information technology; and
those facilitating distance learning.
Leave for on campus essential employees may be approved for employees that have a qualifying sick reason; are required to self-quarantine due to travel outside of the Tallahassee area and surrounding counties; or due to a recommendation by a health care provider. Please consult with your immediate supervisor prior to traveling outside of the Tallahassee area and surrounding counties.

Some employees may be designated as on campus essential employees but may not be needed for full-time work. Those employees must work the hours that are required and then will be provided Emergency Sick Leave under the Families First Coronavirus Response Act (FFCRA) to supplement the additional hours. For example, an employee may only be required to report to campus to perform essential duties for 20 hours, and then will be provided 20 hours of FFCRA Emergency Sick Leave. Additionally, departments should consider alternative schedules for essential employees to promote social distancing.

Remote Work Employees

All employees who are not designated as on campus essential employees will be required to work remotely, as long as their duties and responsibilities are conducive to such work. Although on campus operations are restricted, remote work will continue. Employees are still required to submit a Temporary Remote Work Acknowledgement form. Please visit the Temporary Remote Work Guidelines webpage for additional resources and guidance.

The Universitys restriction of on campus operations will include significantly reducing the amount of facilities staff available to provide the usual cleaning and sanitation services in University Academic and Research buildings. As a result, we cannot guarantee that facilities will be maintained on a daily basis in a manner that meets with best practices to prevent the spread of COVID-19. For these reasons, and for your own continued health and safety, the University must insist that all employees not designated as on campus essential work remotely at all possible times. If there are additional measures you need in order accomplish remote work, please advise your department head or chair.

Families First Coronavirus Response Act (FFCRA)

Employees whose job responsibilities do not support remote work and who are not considered to be on campus essential employees, or are unable to work remotely due to childcare or other COVID-19 related reasons, will be granted up to 80 hours (prorated for part-time employees) of Emergency Sick Leave under the Families First Coronavirus Response Act (FFCRA). Employees are required to submit the Emergency Paid Sick Leave  form to initiate the paid leave. Once a salaried non-essential employee (Faculty, USPS, and A&P) has exhausted their 80-hour entitlement, they will qualify for paid administrative leave through April 30, 2020. If the University restricts on campus operations beyond April 30, leave statuses will be reevaluated at that time.

How Should Departments Prepare?

Departments should prepare immediately for a shutdown of nonessential campus operations. Supervisors must work with employees who are able to work remotely to ensure they have access to all the equipment, files, resources, etc. that they need to perform their work from home. Most of this planning has already occurred, but access to buildings will be limited to those that are designated as essential. Supervisors must keep in mind social distancing when coordinating the pick-up of items that employees may need.

Departmental Mail and Packages

Departments should continue to process their mail to ensure the timely deposit of checks and processing of vendor invoices/payments. Campus mail will continue to be delivered to departmental mailrooms on Monday, Wednesday and Friday. If a department would like to pick up mail at Postal Services (800 West Madison Street), please send an email to postal@fsu.edu  with the full name of the departmental representative authorized to pick up mail for the department. This person must be prepared to show their current University issued identification (FSUCard).

Packages received by Postal Services will be held for department pick up. If you are working remotely from home, you may ship ordered items to your home address with appropriate departmental approval and documentation. Click here for more information.

Resources

There is simply not enough that can be said to commend the campus community for the exceptional resiliency shown during these uncertain times. Faculty, staff, and students continue to overcome and adapt to the challenges presented by the COVID-19 pandemic. The dedication and commitment of our community is unrivaled. Thank you for your continued patience and perseverance.

Please do not hesitate to contact any member of the HR Coronavirus Task Force:

HR Coronavirus Task Force Contacts
General Questions	Renisha Gibbs	rgibbs@fsu.edu 
General Staff Issues	Tracey Pearson Back-up contact: Julie Ritter	tvpearson@fsu.edu  jritter@fsu.edu 
General Faculty Issues	Rebecca Peterson Back-up contact: Tiffany Ward	rpeterson@fsu.edu  tnward@fsu.edu 
Payroll Questions	Phaedra Harris	pharris@fsu.edu 
Attendance & Leave Questions	Christine Conley	caconley@fsu.edu 
Communications	Shelley Lopez	s.lopez@fsu.edu 

",Florida State University
8-Apr-20,"As a reminder, students who choose the S/U grade option for eligible undergraduate courses must submit their request by Sunday, April 12, at 11:59 pm EDT.

Because of the remote instruction implemented in response to the COVID-19 pandemic, FSU has modified its undergraduate grading policy for the 2020 spring semester.

Undergraduate courses that currently use letter grades will continue to use letter grades. However, students may individually opt to receive a Satisfactory/Unsatisfactory (S/U) grade for eligible courses rather than a letter grade.
The window for students enrolled in eligible undergraduate courses to request the S/U option opened at 9 am EDT, Monday, March 30. All requests for the S/U option must be submitted no later than 11:59 pm EDT, Sunday, April 12. Students are strongly encouraged to review the Student Information Guide on S/U to understand the implications of their choice should they choose to switch from letter grades to S/U grades. The students who request the S/U option will be informed how their choice may affect GPA, financial aid, progress toward degree, etc. Students can also consult with their academic advisors to help them make informed decisions.
Students may select to change one or all of the eligible undergraduate classes in which they are enrolled. There is no requirement that students change any course if they wish to continue receiving a letter grade for any or all of their eligible undergraduate classes.
Students should consult with their instructors as to what constitutes an S or U in each class as it may be different.
The grading policy for graduate courses will not change. All graduate courses will receive letter grades.
Students in professional programs should check with their respective colleges for any grading policy changes.
To request S/U in classes that use letter grades, see instructions on How to Change Letter Grades to S/U Grades . For more detailed information and FAQ, visit the Student Information Guide on S/U.

",Florida State University
13-Apr-20,"The COVID-19 situation has brought forth new challenges both personally and professionally for many employees. It is important to ensure that staff have guidance and appropriate resources to address any stress and anxiety they may be experiencing.

While it is normal to experience some degree of anxiety, it can be detrimental to our overall health. The Employee Assistance Program has created a useful virtual training to assist with mitigating stress and anxiety during this time of uncertainty. Please watch, and encourage others to watch, to learn some helpful strategies to effectively manage stress and improve overall well-being.

The virtual training is located on the Employee Assistance Program website.

Questions? Contact Kyle Caswell, EAP Counselor at klcaswell@fsu.edu .
",Florida State University
